sku_prefix,sku_suffix,lineitem_name
CAB-DO,pkt,"Cabbage, 'Dowinda' - Pkt"
CAB-DO,1Ms,"Cabbage, 'Dowinda' - 1000 seeds"
CAB-FK,pkt,"Cabbage, 'Filderkraut' - Pkt"
CAB-FK,1/4oz,"Cabbage, 'Filderkraut' - 1/4 oz"
CAB-FK,1oz,"Cabbage, 'Filderkraut' - 1 oz"
CAB-FK,1/4lb,"Cabbage, 'Filderkraut' - 1/4 lb"
CAB-FK,1lb,"Cabbage, 'Filderkraut' - 1 lb"
CAB-JK,pkt,"Cabbage, 'January King' - Pkt"
CAB-JK,1/4oz,"Cabbage, 'January King' - 1/4 oz"
CAB-JK,1oz,"Cabbage, 'January King' - 1 oz"
CAB-M2,pkt,"Napa/Chinese Cabbage, 'Matsushima #2' - Pkt"
CAB-M2,1/4oz,"Napa/Chinese Cabbage, 'Matsushima #2' - 1/4 oz"
CAB-NS,pkt,"Cabbage, 'Columbia' - Pkt"
CAB-NS,1Ms,"Cabbage, 'Columbia' - 1000 seeds"
CAB-NS,5Ms,"Cabbage, 'Columbia' - 5000 seeds"
CAB-MA,pkt,"Cabbage, 'Marner' - Pkt"
CAB-MA,1Ms,"Cabbage, 'Marner' - 1000 seeds"
CRD-GN,pkt,"Cardoon, 'Gobbo di Nizza' - Pkt"
CRD-GN,100s,"Cardoon, 'Gobbo di Nizza' - 100 seeds"
CAR-DR,pkt,"Carrot, 'Purple Dragon' - Pkt"
CAR-DR,1/2oz,"Carrot, 'Purple Dragon' - 1/2 oz"
CAR-DR,1oz,"Carrot, 'Purple Dragon' - 1 oz"
CAR-RA,pkt,"Carrot, 'Rainbow Mix' - Pkt"
CAR-SN,pkt,"Carrot, 'Scarlet Nantes' - Pkt"
CAR-SN,1/2oz,"Carrot, 'Scarlet Nantes' - 1/2 oz"
CAR-SN,1oz,"Carrot, 'Scarlet Nantes' - 1 oz"
CAR-TO,pkt,"Carrot, 'Tonda di Parigi' - Pkt"
CAR-TO,1/2oz,"Carrot, 'Tonda di Parigi' - 1/2 oz"
CAR-TO,1oz,"Carrot, 'Tonda di Parigi' - 1 oz"
CAR-YE,pkt,"Carrot, 'Yellowstone' - Pkt"
CAR-YE,1/2oz,"Carrot, 'Yellowstone' - 1/2 oz"
CAU-AY,pkt,"Cauliflower, 'All the Year Round' - Pkt"
CAU-AY,500s,"Cauliflower, 'All the Year Round' - 500 seeds"
CAU-PR,pkt,"Cauliflower, 'Prestige' - Pkt"
CAU-PR,1/8oz,"Cauliflower, 'Prestige' - 1/8 oz"
CAU-PR,1/4oz,"Cauliflower, 'Prestige' - 1/4 oz"
CAU-PR,1oz,"Cauliflower, 'Prestige' - 1 oz"
CHI-IS,pkt,"Radicchio, 'Rosa Isontina' - Pkt"
CHI-IS,500s,"Radicchio, 'Rosa Isontina' - 500 seeds"
CHI-IS,1Ms,"Radicchio, 'Rosa Isontina' - 1000 seeds"
CHI-IS,5Ms,"Radicchio, 'Rosa Isontina' - 5000 seeds"
CHI-IN,pkt,"Radicchio (Tardivo), 'Incantatore' - Pkt"
CHI-IN,500s,"Radicchio (Tardivo), 'Incantatore' - 500 seeds"
CHI-IN,1Ms,"Radicchio (Tardivo), 'Incantatore' - 1000 seeds"
CHI-IN,5Ms,"Radicchio (Tardivo), 'Incantatore' - 5000 seeds"
CHI-IN,25Ms,"Radicchio (Tardivo), 'Incantatore' - 25000 seeds"
SMA-MD,pkt,"Chicory (Puntarelle di Galatina), 'Medusa' - Pkt"
SMA-MD,500s,"Chicory (Puntarelle di Galatina), 'Medusa' - 500 seeds"
SMA-MD,1Ms,"Chicory (Puntarelle di Galatina), 'Medusa' - 1000 seeds"
SMA-MD,5Ms,"Chicory (Puntarelle di Galatina), 'Medusa' - 5000 seeds"
SMA-MD,25Ms,"Chicory (Puntarelle di Galatina), 'Medusa' - 25000 seeds"
COL-CG,pkt,"Collards, 'Cascade Glaze' - Pkt"
COL-CG,1/4oz,"Collards, 'Cascade Glaze' - 1/4 oz"
COL-CG,1oz,"Collards, 'Cascade Glaze' - 1 oz"
COR-FL,pkt,"Corn, 'Floriani Red Flint' - Pkt"
COR-FL,1/2lb,"Corn, 'Floriani Red Flint' - 1/2 lb"
COR-FL,1lb,"Corn, 'Floriani Red Flint' - 1 lb"
COR-RC,pkt,"Corn, 'Roy's Calais Flint' - Pkt"
COR-RC,1/2lb,"Corn, 'Roy's Calais Flint' - 1/2 lb"
COR-RC,1lb,"Corn, 'Roy's Calais Flint' - 1 lb"
COR-PM,pkt,"Corn, 'Painted Mountain' - Pkt"
COR-PM,1/2lb,"Corn, 'Painted Mountain' - 1/2 lb"
COR-PM,1lb,"Corn, 'Painted Mountain' - 1 lb"
COR-AB,pkt,"Corn, 'Amish Butter' - Pkt"
COR-AB,1/4lb,"Corn, 'Amish Butter' - 1/4 lb"
COR-AB,1lb,"Corn, 'Amish Butter' - 1 lb"
COR-DB,pkt,"Corn, 'Dakota Black' - Pkt"
