SKU,QTY
COR-DB-1/4lb,12
MON-LB-500s,12
PEP-BP-100s,12
FOC-ST-100s,12
KAL-RR-1/4oz,12
GRE-RS-1/4oz,12
TOM-ST-100s,12
BEA-KY-1/2lb,12
BEA-LC-1/2lb,12
PEP-LY-100s,12
VET-AZ-500s,12
CUC-CE-1oz,12
TOM-GA-100s,12
CHI-BQ-500s,12
CRD-GN-100s,12
ZIN-SR-250s,11
PEP-CS-500s,11
PEP-SR-100s,11
gift-cert-25,11
EGG-VI-250s,11
SQU-YC-1oz,11
TOM-CA-100s,11
SCA-SM-250s,11
LET-FB-1/4oz,11
SQU-ZM-1oz,11
CUC-LE-1/2oz,11
LET-FT-1/4oz,11
MEL-ER-1/2oz,11
SQU-BI-1oz,11
SMA-VG-1Ms,11
SMA-RM-1Ms,11
TOM-PI-100s,11
LET-JE-1/4oz,11
SWP-AP-100s,10
SWP-MW-100s,10
SWP-BR-100s,10
BEA-HU-1lb,10
COR-PM-1/2lb,10
BEA-ZO-1/2lb,10
BEA-HR-1lb,10
SUN-GS-100s,10
ZIN-QP-250s,10
NIG-BV-1Ms,10
BEA-IC-1lb,10
TOM-MA-250s,10
GRE-MZ-1oz,10
BEA-RO-1lb,10
SWP-WN-100s,10
SWP-NI-100s,10
MEL-PF-1/2oz,10
BEA-TE-1lb,10
BEA-BP-1/2lb,10
TOM-NE-100s,10
AMA-HB-1/4oz,10
BEA-RL-1lb,10
BEA-MX-1lb,10
TOM-RP-100s,10
PEA-SS-1lb,10
POP-FA-1g,10
POP-CO-1g,10
BEA-BI-1/2lb,10
MEL-GI-1/2oz,10
PEA-CA-1lb,10
BEA-PA-1/2lb,10
SMA-BO-1Ms,10
CUC-SS-1oz,10
POP-MP-1g,10
TOM-LA-100s,10
CAB-FK-1oz,10
BEE-FK-1oz,9
LET-QH-1/4oz,9
BEA-BG-1/2lb,9
RUD-PG-500s,9
ZIN-ZP-500s,9
SMA-ET-1Ms,9
SMA-VE-1Ms,9
CUC-VO-1oz,9
SUN-TO-250s,9
BEA-HP-1lb,9
TOM-CE-100s,9
PEA-GS-1/2lb,9
NIC-BQ-1Ms,9
LET-LG-1/4oz,9
CAR-TO-1/2oz,9
GRE-WC-1oz,9
AST-TS-250s,9
COR-RC-1/2lb,9
PEP-OK-100s,8
HER-MT-500s,8
POP-DF-1g,8
WHE-BE-1/4lb,8
TOM-AN-250s,8
TOM-SW-100s,8
SMA-SE-1Ms,8
BEA-JG-1lb,8
LET-GR-1/4oz,8
RUD-GW-500s,8
COS-CW-1Ms,8
BEA-CI-1/2lb,8
SCA-GY-100s,8
CEL-SC-1Ms,8
BEA-TV-1/2lb,8
SMA-MD-5Ms,8
CAU-PR-1/4oz,8
SQU-SM-1oz,8
NIC-PS-1Ms,8
NAS-AL-1oz,8
SNA-OW-1Ms,8
LEE-LN-1/2oz,8
PEP-YN-250s,8
SPI-WB-1/4lb,8
BEA-TA-1/2lb,8
PEP-PA-1Ms,8
PEA-HL-1lb,8
LET-BG-1/4oz,8
LET-AD-1/4oz,8
ONI-ER-1/2oz,8
PEP-SG-250s,8
LAR-SB-250s,8
BEA-CA-1lb,8
BEA-BP-1lb,8
BEA-HU-1/2lb,8
ZIN-IS-250s,8
LET-DV-1/4oz,7
SMA-BB-500s,7
LET-ME-1/4oz,7
CEL-RP-500s,7
PEP-TM-100s,7
BEE-SH-1/4lb,7
TOM-PR-250s,7
SMA-CA-500s,7
SMA-MB-5Ms,7
SMA-BB-1Ms,7
SQU-PO-1oz,7
TOM-AF-100s,7
TOM-PG-250s,7
CUC-SH-1oz,7
LET-SU-1/4oz,7
FAV-KA-1lb,7
SUN-SO-1Ms,7
PEP-DH-100s,7
GRE-RU-1oz,7
TOM-MG-100s,7
TOM-SO-100s,7
ONI-SR-1/2oz,7
BEE-BO-1oz,7
AST-TC-1Ms,7
gift-cert-50,7
COS-SP-1Ms,6
PEP-AS-100s,6
TOM-KO-100s,6
POP-BS-1g,6
VRB-AS-1Ms,6
BEA-KM-1/2lb,6
FOX-WC-1/4g,6
SMA-JO-5Ms,6
CHI-BQ-1Ms,6
CEL-RP-1Ms,6
TOM-PI-250s,6
PEA-SA-1lb,6
SMA-CA-1Ms,6
BEA-FL-1lb,6
BEA-KY-1lb,6
COR-FL-1/2lb,6
ZUC-DS-1/4lb,6
AMA-CF-1/4oz,6
PEP-BR-500s,6
LEE-BW-1/2oz,6
SWP-FN-100s,6
SAL-WS-1Ms,6
TOM-BP-100s,6
BEA-LC-1lb,6
BEA-AT-1/2lb,6
PEP-PA-250s,6
SMA-FX-1Ms,6
CLE-VQ-250s,5
LET-OS-1/4oz,5
LET-RV-1/4oz,5
SMA-MT-1Ms,5
LET-RG-1/4oz,5
LET-MQ-1/4oz,5
GRE-WC-1/4lb,5
NIG-DB-1Ms,5
CAR-TO-1oz,5
BEA-VE-1/2lb,5
KAL-RF-1/4oz,5
gift-cert-100,5
NIC-LD-1Ms,5
GRE-GF-1/4oz,5
TOM-SH-100s,5
SMA-AC-5Ms,5
ONI-NY-1/2oz,5
BRO-SO-1oz,5
SMA-PN-1Ms,5
GRS-FE-1Ms,5
TOM-RF-100s,5
BEA-BI-1lb,5
LET-PI-1/4oz,5
COL-CG-1oz,5
SPI-WB-1lb,5
SMA-RS-5Ms,5
LET-GA-1/4oz,5
CHA-RH-1oz,5
LET-BI-1/4oz,5
COS-XS-1Ms,5
CHI-IN-5Ms,5
HER-HY-1Ms,5
BEA-GR-1lb,5
SMA-VG-5Ms,5
CUC-SA-500s,5
PEP-JN-250s,5
SQU-FU-1/4lb,5
SMA-MR-500s,5
AMA-EH-1oz,5
LET-CI-1/4oz,5
SMA-BT-500s,5
PEP-CC-250s,5
BEA-VE-1lb,5
GRE-RS-1/4lb,5
BEA-ZO-1lb,5
AST-TS-1Ms,5
CHI-MA-1Ms,5
ONI-RJ-1/2oz,5
KAL-RF-1oz,5
ONI-RJ-1oz,5
TOM-IH-250s,4
FLO-BO-1oz,4
TOM-KK-50s,4
PAR-SS-1oz,4
TOM-SL-100s,4
TOM-AF-250s,4
COR-AB-1lb,4
MEL-MO-1/2oz,4
PUM-HO-1oz,4
COS-VE-250s,4
SPI-WG-1/4lb,4
NIC-OL-1Ms,4
LET-MA-1/4oz,4
ONI-ER-1oz,4
CER-PG-500s,4
COS-DI-1Ms,4
FLA-OM-1/4lb,4
PEP-TU-250s,4
